Indicator,Urban,Rural,Total,Total NFHS4,State
102. Blood sugar level - high (141-160 mg/dl)23 (%),6.9,7.7,7.5,,Sikkim
103. Blood sugar level - very high (>160 mg/dl)23  (%),8.1,6.4,7,,Sikkim
104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),16.2,15.5,15.7,,Sikkim
Hypertension among Adults (age 15 years and above),,,,,Sikkim
Women,,,,,Sikkim
105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.7,19.5,18.5,,Sikkim
"106. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",10.7,12.4,11.8,,Sikkim
"107. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",32.3,35.8,34.5,,Sikkim
Men,,,,,Sikkim
108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),24.5,25.2,25,,Sikkim
"109. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",11.1,15.2,13.9,,Sikkim
110. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking medicine to control blood pressure (%),38.6,43.1,41.6,,Sikkim
Screening for Cancer among Adults (age 30-49 years),,,,,Sikkim
Women,,,,,Sikkim
111. Ever undergone a screening test for cervical cancer (%),0.7,0.5,0.6,,Sikkim
112. Ever undergone a breast examination for breast cancer (%),0,0.2,0.1,,Sikkim
113. Ever undergone an oral cavity examination for oral cancer (%),1.4,0.4,0.8,,Sikkim
Men,,,,,Sikkim
114. Ever undergone an oral cavity examination for oral cancer (%),7.1,2.3,4,,Sikkim
Knowledge of HIV/AIDS among Adults (age 15-49 years),,,,,Sikkim
115. Women who have comprehensive knowledge24  of HIV/AIDS (%),34.1,17.2,23.9,25.5,Sikkim
116. Men who have comprehensive knowledge24  of HIV/AIDS (%),23.4,15.2,18.5,36.1,Sikkim
117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),80.1,67.1,72.2,62.7,Sikkim
118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),80,86.2,83.7,72.9,Sikkim
Women's Empowerment (women age 15-49 years),,,,,Sikkim
119. Currently married women who usually participate in three household decisions25 (%),80.5,93.9,89.7,95.3,Sikkim
120. Women who worked in the last 12 months and were paid in cash (%),38.1,29.3,32.7,19.9,Sikkim
121. Women owning a house and/or land (alone or jointly with others) (%),56.9,50.6,53.1,24.8,Sikkim
122. Women having a bank or savings account that they themselves use (%),76,76.7,76.4,63.5,Sikkim
123. Women having a mobile phone that they themselves use (%),96.9,83.3,88.6,79.8,Sikkim
124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26  (%),87.1,85.7,86.3,84.6,Sikkim
Gender Based Violence (age 18-49 years),,,,,Sikkim
125. Ever-married women age 18-49 years who have ever experienced spousal violence27  (%),13.1,11.7,12.1,2.6,Sikkim
126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.4,2.4,1.9,0.4,Sikkim
127. Young women age 18-29 years who experienced sexual violence by age 18 (%),3.2,3.1,3.2,1.4,Sikkim
Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),,,,,Sikkim
128. Women age 15 years and above who use any kind of tobacco (%),7.9,14.1,11.7,,Sikkim
129. Men age 15 years and above who use any kind of tobacco (%),38,43.3,41.3,,Sikkim
130. Women age 15 years and above who consume alcohol (%),12.7,18.4,16.2,,Sikkim
131. Men age 15 years and above who consume alcohol (%),37.6,41.1,39.8,,Sikkim
Population and Household Profile,,,,,Telangana
1. Female population age 6 years and above who ever attended school (%),75.9,52.4,60.9,62.6,Telangana
2. Population below age 15 years (%),23.4,22,22.5,25.1,Telangana
"3. Sex ratio of the total population (females per 1,000 males)","1,015","1,070","1,049","1,007",Telangana
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",873,907,894,872,Telangana
5. Children under age 5 years whose birth was registered with the civil authority (%),92.9,88,90,83.1,Telangana
6. Deaths in the last 3 years registered with the civil authority (%),79,71.3,73.5,,Telangana
7. Population living in households with electricity (%),99.8,99.4,99.6,98.9,Telangana
8. Population living in households with an improved drinking-water source1  (%),99.4,98.4,98.7,97.7,Telangana
9. Population living in households that use an improved sanitation facility2 (%),81.8,72.9,76.2,52.3,Telangana
10. Households using clean fuel for cooking3  (%),98.2,88.3,91.8,67.3,Telangana
11. Households using iodized salt (%),97.8,94.8,95.8,95.8,Telangana
12. Households with any usual member covered under a health insurance/financing scheme (%),52.9,65,60.8,66.4,Telangana
13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),16.7,14.3,15.3,,Telangana
Characteristics of Adults (age 15-49 years),,,,,Telangana
14. Women who are literate4  (%),81,58.1,66.6,,Telangana
15. Men who are literate4  (%),90.2,81.3,84.8,,Telangana
16. Women with 10 or more years of schooling (%),60.9,36.3,45.5,43.6,Telangana
17. Men with 10 or more years of schooling (%),71,54.6,61.2,54.5,Telangana
18. Women who have ever used the internet (%),43.9,15.8,26.5,,Telangana
19. Men who have ever used the internet (%),72.3,46.7,57.4,,Telangana
Marriage and Fertility,,,,,Telangana
20. Women age 20-24 years married before age 18 years (%),16.7,27.4,23.5,26.2,Telangana
21. Men age 25-29 years married before age 21 years (%),9.1,21.1,16.3,17.8,Telangana
22. Total fertility rate (children per woman),1.8,1.7,1.8,1.8,Telangana
23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1,7.4,5.8,10.6,Telangana
24. Adolescent fertility rate for women age 15-19 years5,34,56,48,67,Telangana
"Infant and Child Mortality Rates (per 1,000 live births)",,,,,Telangana
25. Neonatal mortality rate (NNMR),13.8,18.8,16.8,20,Telangana
26. Infant mortality rate (IMR),22,29.3,26.4,27.7,Telangana
27. Under-five mortality rate (U5MR),24.7,32.4,29.4,31.7,Telangana
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,Telangana
28. Any method6  (%),69,67.6,68.1,57.2,Telangana
29. Any modern method6  (%),66.9,66.5,66.7,57,Telangana
30. Female sterilization (%),61.3,62.2,61.9,54.2,Telangana
31. Male sterilization (%),1.4,2.3,2,1.6,Telangana
32. IUD/PPIUD (%),1,0.2,0.5,0.4,Telangana
33. Pill (%),1.2,0.5,0.8,0.3,Telangana
34. Condom (%),1.3,0.5,0.8,0.5,Telangana
35. Injectables (%),0.1,0.1,0.1,0,Telangana
Unmet Need for Family Planning (currently married women age 15–49 years),,,,,Telangana
36. Total unmet need7 (%),7.1,6.1,6.4,7.4,Telangana
37. Unmet need for spacing7  (%),3.1,2.6,2.8,3.8,Telangana
Quality of Family Planning Services,,,,,Telangana
38. Health worker ever talked to female non-users about family planning (%),17.2,16.9,17,9.6,Telangana
39. Current users ever told about side effects of current method8  (%),52.4,47.2,49.2,25.1,Telangana
Maternal and Child Health,,,,,Telangana
Maternity Care (for last birth in the 5 years before the survey),,,,,Telangana
40. Mothers who had an antenatal check-up in the first trimester (%),89.8,87.6,88.5,83.1,Telangana
41. Mothers who had at least 4 antenatal care visits (%),71.1,70,70.4,74.9,Telangana
42. Mothers whose last birth was protected against neonatal tetanus9  (%),89.5,89.7,89.6,88.8,Telangana
43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.2,54.6,57.9,52.7,Telangana
44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),37,32.7,34.4,28.8,Telangana
45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.8,97.8,96.7,89.1,Telangana
46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88,87.3,87.6,81.7,Telangana
47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,594","3,966","3,846","4,218",Telangana
48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),,14.6,15.6,9,Telangana
49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.5,88.9,90,,Telangana
Delivery Care (for births in the 5 years before the survey),,,,,Telangana
50. Institutional births (%),97.7,96.6,97,91.5,Telangana
51. Institutional births in public facility (%),43.4,53.6,49.7,30.5,Telangana
52. Home births that were conducted by skilled health personnel10  (%),0.7,1.7,1.3,2.8,Telangana
53. Births attended by skilled health personnel10  (%),94.6,92.9,93.6,91.3,Telangana
54. Births delivered by caesarean section (%),64.3,58.4,60.7,57.7,Telangana
55. Births in a private health facility that were delivered by caesarean section (%),82.7,80.6,81.5,74.5,Telangana
56. Births in a public health facility that were delivered by caesarean section (%),44.8,44.3,44.5,40.3,Telangana
Child Vaccinations and Vitamin A Supplementation,,,,,Telangana
57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11  (%),74.7,81.5,79.1,67.5,Telangana
58. Children age 12-23 months fully vaccinated based on information from vaccination card only12  (%),85.7,88.3,87.4,79.1,Telangana
59. Children age 12-23 months who have received BCG (%),90.4,95.3,93.5,97.4,Telangana
60. Children age 12-23 months who have received 3 doses of polio vaccine13  (%),77,84,81.6,75.2,Telangana
61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),84.3,91.9,89.2,87.9,Telangana
62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.7,92.7,90.6,90.1,Telangana
63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),29.7,40.1,36.4,,Telangana
64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14  (%),3.9,6.1,5.3,,Telangana
65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80,89.9,86.4,70.5,Telangana
66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),68.6,74.9,72.4,76,Telangana
67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),88.8,96.9,94.1,83.6,Telangana
68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),8.5,2.4,4.5,16.2,Telangana
Treatment of Childhood Diseases (children under age 5 years),,,,,Telangana
69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.5,8.6,7.4,8.2,Telangana
70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),61.8,54.1,56.3,56.8,Telangana
71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),39.3,38.2,38.5,31.6,Telangana
72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),71.1,72.2,71.9,74.1,Telangana
73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.9,2.4,2.2,2,Telangana
74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),76.8,73.7,74.8,76.3,Telangana
Child Feeding Practices and Nutritional Status of Children,,,,,Telangana
75. Children under age 3 years breastfed within one hour of birth15  (%),38.8,36,37.1,36.9,Telangana
76. Children under age 6 months exclusively breastfed16  (%),59.1,73.4,68.2,67,Telangana
77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16  (%),53.1,50.1,51.3,57.5,Telangana
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",8.3,8.3,8.3,9.9,Telangana
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",8.9,22.1,15.3,11.2,Telangana
"80. Total children age 6-23 months receiving an adequate diet16, 17  (%)",8.4,9.7,9.2,10.1,Telangana
81. Children under 5 years who are stunted (height-for-age)18  (%),28.1,35.7,33.1,28,Telangana
82. Children under 5 years who are wasted (weight-for-height)18  (%),20,22.6,21.7,18.1,Telangana
83. Children under 5 years who are severely wasted (weight-for-height)19  (%),9.2,8.2,8.5,4.8,Telangana
84. Children under 5 years who are underweight (weight-for-age)18  (%),25.8,35,31.8,28.4,Telangana
85. Children under 5 years who are overweight (weight-for-height)20  (%),4.2,3,3.4,0.7,Telangana
Nutritional Status of Adults (age 15-49 years),,,,,Telangana
86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21  (%),13.5,21.6,18.8,22.9,Telangana
87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),15.2,16.8,16.2,21.5,Telangana
88. Women who are overweight or obese (BMI ?25.0 kg/m2)21  (%),41.7,23.8,30.1,28.6,Telangana
89. Men who are overweight or obese (BMI ?25.0 kg/m2) (%),40.2,28.1,32.3,24.2,Telangana
90. Women who have high risk waist-to-hip ratio (?0.85) (%),47.5,42.3,44.1,,Telangana
91. Men who have high risk waist-to-hip ratio (?0.90) (%),47.6,45.3,46.1,,Telangana
Anaemia among Children and Adults,,,,,Telangana
92. Children age 6-59 months who are anaemic (<11.0 g/dl)22  (%),64.7,72.8,70,60.7,Telangana
93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22  (%),55.4,59.1,57.8,56.9,Telangana
94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22  (%),50.4,54.4,53.2,48.2,Telangana
95. All women age 15-49 years who are anaemic22  (%),55.2,58.9,57.6,56.6,Telangana
96. All women age 15-19 years who are anaemic22  (%),63.6,65.2,64.7,59.7,Telangana
97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),13.2,16.5,15.3,15.3,Telangana
98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),25.8,24.7,25.1,19.2,Telangana
Blood Sugar Level among Adults (age 15 years and above),,,,,Telangana
Women,,,,,Telangana
99.   Blood sugar level - high (141-160 mg/dl)23 (%),6.2,5.7,5.8,,Telangana
100. Blood sugar level - very high (>160 mg/dl)23 (%),9.3,6,7,,Telangana
101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),18.4,13,14.7,,Telangana
Men,,,,,Telangana
102. Blood sugar level - high (141-160 mg/dl)23 (%),7.3,6.7,6.9,,Telangana
103. Blood sugar level - very high (>160 mg/dl)23  (%),11.4,8.4,9.3,,Telangana
104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),21.4,16.6,18.1,,Telangana
Hypertension among Adults (age 15 years and above),,,,,Telangana
Women,,,,,Telangana
105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.3,13.2,13.6,,Telangana
"106. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",6.3,6.3,6.3,,Telangana
"107. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",29.1,24.7,26.1,,Telangana
Men,,,,,Telangana
108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.5,17.5,18.5,,Telangana
"109. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",9.1,7.6,8.1,,Telangana
"110. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",36.8,28.9,31.4,,Telangana
Screening for Cancer among Adults (age 30-49 years),,,,,Telangana
Women,,,,,Telangana
111. Ever undergone a screening test for cervical cancer (%),2.3,3.9,3.3,,Telangana
112. Ever undergone a breast examination for breast cancer (%),0.3,0.4,0.3,,Telangana
113. Ever undergone an oral cavity examination for oral cancer (%),3.2,2.1,2.5,,Telangana
Men,,,,,Telangana
114. Ever undergone an oral cavity examination for oral cancer (%),1.9,3,2.6,,Telangana
Knowledge of HIV/AIDS among Adults (age 15-49 years),,,,,Telangana
115. Women who have comprehensive knowledge24  of HIV/AIDS (%),36.9,26.9,30.7,29.5,Telangana
